image_name,original_resolution,upscaled_resolution,lpips_score,status,model_used,scale_used
1024__image_0187.jpg,1280x1280,1280x1280,,kept,none,1
1024__image_0202.jpg,1280x1167,1280x1167,,kept,none,1
1024__image_0422.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0423.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0433.jpg,1300x1300,1300x1300,,kept,none,1
1024__image_0439.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0448.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0451.jpg,1067x1280,1067x1280,,kept,none,1
256__image_0001.jpg,256x256,1024x1024,0.032085,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0002.jpg,256x256,1024x1024,0.047279,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0003.jpg,256x256,1024x1024,0.039742,kept,RealESRGAN_x4plus,4
256__image_0004.jpg,256x256,1024x1024,0.026507,kept,RealESRGAN_x4plus,4
256__image_0005.jpg,256x256,1024x1024,0.032768,kept,RealESRGAN_x4plus,4
256__image_0006.jpg,256x256,1024x1024,0.033411,kept,RealESRGAN_x4plus,4
256__image_0007.jpg,256x256,1024x1024,0.021796,kept,RealESRGAN_x4plus,4
256__image_0008.jpg,256x256,1024x1024,0.090825,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0009.jpg,256x256,1024x1024,0.019371,kept,RealESRGAN_x4plus,4
256__image_0010.jpg,256x256,1024x1024,0.044823,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0011.jpg,256x256,1024x1024,0.053291,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0012.jpg,256x256,1024x1024,0.040480,kept,RealESRGAN_x4plus,4
256__image_0013.jpg,256x256,1024x1024,0.073039,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0014.jpg,256x256,1024x1024,0.049120,kept,RealESRGAN_x4plus,4
256__image_0015.jpg,256x256,1024x1024,0.026390,kept,RealESRGAN_x4plus,4
256__image_0016.jpg,256x256,1024x1024,0.027727,kept,RealESRGAN_x4plus,4
256__image_0017.jpg,256x256,1024x1024,0.037345,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0018.jpg,256x256,1024x1024,0.041034,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0019.jpg,256x256,1024x1024,0.038550,kept,RealESRGAN_x4plus,4
256__image_0020.jpg,256x256,1024x1024,0.038629,kept,RealESRGAN_x4plus,4
256__image_0021.jpg,256x256,1024x1024,0.063897,kept,RealESRGAN_x4plus,4
256__image_0022.jpg,256x256,1024x1024,0.062204,kept,RealESRGAN_x4plus,4
256__image_0023.jpg,256x256,1024x1024,0.062983,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0024.jpg,256x256,1024x1024,0.035956,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0025.jpg,256x256,1024x1024,0.018606,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0026.jpg,256x256,1024x1024,0.041662,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0027.jpg,256x256,1024x1024,0.028451,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0028.jpg,256x256,1024x1024,0.050969,kept,RealESRGAN_x4plus,4
256__image_0029.jpg,256x256,1024x1024,0.021105,kept,RealESRGAN_x4plus,4
256__image_0030.jpg,256x256,1024x1024,0.028476,kept,RealESRGAN_x4plus,4
256__image_0031.jpg,256x256,1024x1024,0.039219,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0032.jpg,256x256,1024x1024,0.046358,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0033.jpg,256x256,1024x1024,0.092857,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0034.jpg,256x256,1024x1024,0.036104,kept,RealESRGAN_x4plus,4
256__image_0035.jpg,256x256,1024x1024,0.044706,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0036.jpg,256x256,1024x1024,0.045254,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0037.jpg,256x256,1024x1024,0.067367,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0038.jpg,256x256,1024x1024,0.049637,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0039.jpg,256x256,1024x1024,0.036271,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0040.jpg,256x256,1024x1024,0.032323,kept,RealESRGAN_x4plus,4
256__image_0041.jpg,256x256,1024x1024,0.030500,kept,RealESRGAN_x4plus,4
256__image_0042.jpg,256x256,1024x1024,0.066409,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0043.jpg,256x256,1024x1024,0.050382,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0044.jpg,256x256,1024x1024,0.025053,kept,RealESRGAN_x4plus,4
256__image_0045.jpg,256x256,1024x1024,0.033164,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0046.jpg,256x256,1024x1024,0.090311,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0047.jpg,256x256,1024x1024,0.042700,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0048.jpg,256x256,1024x1024,0.047897,kept,RealESRGAN_x4plus,4
256__image_0049.jpg,256x256,1024x1024,0.026901,kept,RealESRGAN_x4plus,4
256__image_0050.jpg,256x256,1024x1024,0.025360,kept,RealESRGAN_x4plus,4
256__image_0051.jpg,256x256,1024x1024,0.041814,kept,RealESRGAN_x4plus,4
256__image_0052.jpg,256x256,1024x1024,0.027060,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0053.jpg,256x256,1024x1024,0.030643,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0054.jpg,256x256,1024x1024,0.045588,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0055.jpg,256x256,1024x1024,0.020296,kept,RealESRGAN_x4plus+face_enhance,4
256__image_0056.jpg,256x256,1024x1024,0.037309,kept,RealESRGAN_x4plus,4
512__image_0141.jpg,1280x853,1280x853,,kept,none,1
512__image_0142.jpg,1280x853,1280x853,,kept,none,1
512__image_0143.jpg,591x1280,591x1280,,kept,none,1
512__image_0144.jpg,1280x720,1280x720,,kept,none,1
512__image_0145.jpg,1280x853,1280x853,,kept,none,1
512__image_0146.jpg,1280x853,1280x853,,kept,none,1
512__image_0147.jpg,1280x857,1280x857,,kept,none,1
512__image_0148.jpg,1280x720,1280x720,,kept,none,1
512__image_0149.jpg,854x1280,854x1280,,kept,none,1
512__image_0150.jpg,1280x720,1280x720,,kept,none,1
512__image_0151.jpg,1280x853,1280x853,,kept,none,1
512__image_0152.jpg,852x1280,852x1280,,kept,none,1
512__image_0153.jpg,1280x853,1280x853,,kept,none,1
512__image_0154.jpg,1280x853,1280x853,,kept,none,1
512__image_0155.jpg,853x1280,853x1280,,kept,none,1
512__image_0156.jpg,854x1280,854x1280,,kept,none,1
512__image_0157.jpg,1280x853,1280x853,,kept,none,1
512__image_0158.jpg,854x1280,854x1280,,kept,none,1
512__image_0159.jpg,854x1280,854x1280,,kept,none,1
512__image_0160.jpg,852x1280,852x1280,,kept,none,1
512__image_0161.jpg,853x1280,853x1280,,kept,none,1
