image_name,original_resolution,upscaled_resolution,lpips_score,status,model_used,scale_used
1024__image_0001.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0002.jpg,1092x1300,1092x1300,,kept,none,1
1024__image_0003.jpg,1880x1058,1880x1058,,kept,none,1
1024__image_0004.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0005.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0006.jpg,1625x1300,1625x1300,,kept,none,1
1024__image_0008.jpg,1880x1214,1880x1214,,kept,none,1
1024__image_0009.jpg,1880x1252,1880x1252,,kept,none,1
1024__image_0011.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0012.jpg,1880x1267,1880x1267,,kept,none,1
1024__image_0013.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0014.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0015.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0017.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0018.jpg,1727x1300,1727x1300,,kept,none,1
1024__image_0021.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0023.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0024.jpg,1880x1060,1880x1060,,kept,none,1
1024__image_0027.jpg,1880x1247,1880x1247,,kept,none,1
1024__image_0032.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0035.jpg,1880x1269,1880x1269,,kept,none,1
1024__image_0036.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0037.jpg,1061x1300,1061x1300,,kept,none,1
1024__image_0038.jpg,1880x1245,1880x1245,,kept,none,1
1024__image_0039.jpg,1880x1058,1880x1058,,kept,none,1
1024__image_0040.jpg,1880x1254,1880x1254,,kept,none,1
1024__image_0041.jpg,1880x1092,1880x1092,,kept,none,1
1024__image_0047.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0048.jpg,1727x1300,1727x1300,,kept,none,1
1024__image_0049.jpg,1182x1300,1182x1300,,kept,none,1
1024__image_0050.jpg,1104x1300,1104x1300,,kept,none,1
1024__image_0052.jpg,1880x1230,1880x1230,,kept,none,1
1024__image_0053.jpg,1129x1300,1129x1300,,kept,none,1
1024__image_0061.jpg,1167x1300,1167x1300,,kept,none,1
1024__image_0062.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0066.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0071.jpg,1880x1245,1880x1245,,kept,none,1
1024__image_0074.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0075.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0076.jpg,1713x1300,1713x1300,,kept,none,1
1024__image_0078.jpg,1880x1184,1880x1184,,kept,none,1
1024__image_0081.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0083.jpg,1040x1300,1040x1300,,kept,none,1
1024__image_0084.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0085.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0086.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0091.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0092.jpg,1880x1050,1880x1050,,kept,none,1
1024__image_0094.jpg,1880x1155,1880x1155,,kept,none,1
1024__image_0097.jpg,1880x1226,1880x1226,,kept,none,1
1024__image_0098.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0100.jpg,1516x1300,1516x1300,,kept,none,1
1024__image_0101.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0104.jpg,1495x1300,1495x1300,,kept,none,1
1024__image_0106.jpg,1070x1300,1070x1300,,kept,none,1
1024__image_0113.jpg,1733x1300,1733x1300,,kept,none,1
1024__image_0114.jpg,1880x1253,1880x1253,,kept,none,1
1024__image_0115.jpg,1880x1245,1880x1245,,kept,none,1
1024__image_0117.jpg,1733x1300,1733x1300,,kept,none,1
